LakID,GLWD_ID,LAKE_NAME,COUNTRY,CONTINENT,LONG_DEG,LAT_DEG,X_CORRECTE,Y_CORRECTE,X_coord_au,Y_coord_au,ZZ_note_lo,GloFAS_sta,LisfloodX3,LisfloodY3,remap_com
129,83,Nueltin,Canada,North America,-99.4,60.25,-98.95,60.75,-99.15,60.75,,,-98.975,60.825,remapped
130,114,Lake Okeechobee,United States,North America,-80.86,26.95,-81.05,26.95,-81.05,26.95,"multiple, controlled outlets to S",,-80.775,26.725,remapped - river flows in opposite direction on 1 deg
131,124,Kasba,Canada,North America,-102.27,60.34,-101.95,60.05,-101.95,60.05,,,-102.175,60.525,remapped - river flows in opposite direction on 1deg
132,127,Ronge,Canada,North America,-104.83,55.11,-104.65,55.25,-104.65,55.25,"not main river, but big",,-104.625,55.275,remapped
133,130,Rainy Lake,Canada,North America,-92.97,48.61,-93.25,48.65,-93.25,48.65,controlled by dam at the outlet,G0446,-93.275,48.625,remapped
134,146,Lake Saint Clair,Canada,North America,-82.73,42.5,-82.95,42.35,-82.95,42.35,,,-82.925,42.375,remapped
135,147,Lesser Slave,Canada,North America,-115.49,55.43,-114.85,55.35,-114.85,55.35,,G0256,-114.825,55.375,remapped
136,153,Chapala,Mexico,North America,-103.05,20.21,-102.85,20.25,-102.85,20.25,"outflow-Rio Grande di Santiego, NW to Pacific",,-102.775,20.325,grabs water also from SE
137,155,Bienville,Canada,North America,-72.98,55.05,-73.55,54.95,-73.25,54.95,,,-73.275,54.975,remapped
138,165,Lake Champlain,United States,North America,-73.27,44.45,-73.35,44.95,-73.35,44.95,,G0584,-73.325,45.075,improve gets water also from east
139,172,Gods,Canada,North America,-94.21,54.62,-94.05,54.85,-94.15,54.75,,G0263,-94.075,54.825,remapped
140,213,Playgreen,Canada,North America,-97.75,54.07,-97.75,54.05,-97.75,54.05,,,-97.975,54.375,remapped
141,222,Peter Pond,Canada,North America,-108.55,55.84,-108.45,55.85,-108.55,55.85,,,-108.475,55.825,remapped
142,224,Minto,Canada,North America,-74.71,57.34,-74.25,57.55,-74.25,57.55,,,-74.275,57.525,remapped
143,251,Cross,Canada,North America,-97.58,54.71,-97.85,54.65,-97.85,54.65,,,-97.825,54.675,remapped
144,264,Kamilukuak,Canada,North America,-101.73,62.28,-101.85,62.45,-101.85,62.45,,,-101.875,62.475,remapped
145,281,Dore,Canada,North America,-107.28,54.76,-107.45,54.75,-107.45,54.75,"cat2, not main river",,-107.475,54.725,remapped
146,285,St. Joseph,Canada,North America,-90.81,51.04,-90.25,51.15,-90.25,51.15,,,-90.275,51.125,remapped
147,288,,Canada,North America,-100.44,55.83,-100.55,56.05,-100.45,55.85,,G0224,-100.525,56.125,remapped
148,299,Buffalo,Canada,North America,-115.49,60.22,-115.25,60.35,-115.35,60.25,"cat2, big lake just downstream",G0149,-115.225,60.325,remapped
149,323,Churchill,Canada,North America,-108.29,55.96,-108.35,55.85,-108.45,55.85,,,-108.425,55.875,remapped
150,324,Angikuni,Canada,North America,-100.04,62.27,-99.65,62.25,-99.75,62.25,,,-99.625,62.275,remapped
151,333,Black,Canada,North America,-105.73,59.05,-105.55,59.15,-105.45,59.15,,G0177,-105.575,59.125,remapped
152,340,Lake Winnebago,United States,North America,-88.42,44.02,-88.45,44.15,-88.45,44.05,,G0623,-88.425,44.175,remapped
153,351,Dauphin,Canada,North America,-99.77,51.27,-99.95,51.45,-99.85,51.35,"cat2, not main river",,-99.975,51.425,remapped
154,353,Payne,Canada,North America,-73.82,59.4,-73.25,59.25,-74.05,59.45,,,-73.275,59.275,remapped
155,356,Sandy,Canada,North America,-93.03,53,-92.55,53.05,-92.55,53.05,,,-92.575,53.075,remapped
156,363,Granville,Canada,North America,-100.21,56.4,-100.05,56.45,-100.15,56.45,,,-100.075,56.475,remapped
157,366,Mille Lacs Lake,United States,North America,-93.65,46.24,-93.65,46.15,-93.65,46.15,"cat2, not main river",,-93.725,46.175,remapped
158,374,Ootsa,Canada,North America,-125.76,53.62,-125.65,53.55,-126.05,53.75,"cat3, upsteam of reservoir",,-125.675,53.575,remapped
159,380,Lake Tahoe,United States,North America,-120.04,39.09,-120.15,39.15,-120.05,39.05,,,-120.125,39.175,remapped
160,391,Ile-a-la-Crosse,Canada,North America,-107.75,55.56,-107.75,55.85,-107.75,55.85,,,-107.775,55.875,remapped
161,404,,Canada,North America,-108.22,56.37,-108.25,56.25,-108.45,56.55,"cat2, not on main river",,-108.225,56.275,remapped
162,406,,Canada,North America,-134.19,59.98,-134.35,60.45,-134.25,60.35,,G0148,-134.525,60.575,remapped
163,409,Primrose,Canada,North America,-109.79,54.89,-109.75,54.85,-109.75,54.85,,,-109.625,54.875,remapped
164,420,Mills,Canada,North America,-118.15,61.43,-118.65,61.25,-118.45,61.35,"cat2, big lake just upsteam",,-118.625,61.325,remapped
165,423,St. Peter,Canada,North America,-72.9,46.15,-72.65,46.25,-72.65,46.25,city downstream,,-72.675,46.275,remapped
166,454,Molson,Canada,North America,-96.82,54.22,-96.75,54.25,-96.75,54.25,cat2,,-96.725,54.325,improve position lake check river up 2 pxls north
167,464,Goose Lake,United States,North America,-120.41,41.92,-120.45,41.75,-120.45,41.85,,,-120.475,41.775,remapped
168,474,Pinehouse,Canada,North America,-106.47,55.55,-106.25,55.75,-106.35,55.75,,,-106.325,55.725,remapped
169,490,Teslin,Canada,North America,-132.39,59.97,-133.25,60.45,-133.25,60.45,,G0154,-133.225,60.425,remapped
170,493,Matagami,Canada,North America,-77.5,50.07,-77.55,50.25,-77.45,50.25,,,-77.525,50.275,remapped
171,501,Stuart,Canada,North America,-124.58,54.55,-124.35,54.45,-124.35,54.45,,G0273,-124.375,54.475,shift 1 pixel north
172,508,Cold,Canada,North America,-110.04,54.53,-109.95,54.55,-109.95,54.55,,,-109.925,54.575,remapped
173,516,North Caribou,Canada,North America,-90.74,52.79,-90.95,52.75,-90.95,52.75,,,-90.825,52.875,remapped
174,529,Oxford,Canada,North America,-95.44,54.85,-95.25,54.95,-95.35,54.95,,,-95.275,54.925,remapped
175,538,St. Martin,Canada,North America,-98.51,51.65,-98.35,51.75,-98.35,51.75,,,-98.325,51.775,remapped
176,555,Simard,Canada,North America,-78.92,47.57,-79.15,47.55,-79.15,47.55,,G0543,-79.125,47.525,remapped
177,559,Upper Klamath Lake,United States,North America,-121.89,42.42,-121.85,42.35,-121.85,42.35,"cat2, small dam",G0671,-121.825,42.275,remapped
178,565,Okanagan,Canada,North America,-119.5,49.92,-119.65,49.55,-119.65,49.65,"cat2, small dam, treat as reservoir?",G0447,-119.625,49.525,remapped
179,569,,Canada,North America,-117.71,60.93,-117.45,60.85,-117.55,60.85,,G0143,-117.675,60.875,remapped
180,570,Goeland,Canada,North America,-76.85,49.86,-76.95,49.85,-76.85,49.75,,,-76.925,49.825,remapped
181,572,Yellowstone Lake,United States,North America,-110.39,44.43,-110.35,44.55,-110.35,44.55,,G0567,-110.375,44.575,remapped
182,582,Shuswap,Canada,North America,-119.12,50.97,-119.65,50.85,-119.65,50.85,,G0370,-119.625,50.875,remapped
183,584,"Lakes Nuyakuk, Tikchik, Chauekuktuli",United States,North America,-158.7,59.97,-158.25,59.95,-158.25,59.95,,G0174,-158.475,59.975,remapped
184,607,,Canada,North America,-89.21,52.94,-89.05,52.85,-89.25,52.85,,,-89.075,52.875,remapped
185,617,Moosehead Lake,United States,North America,-69.71,45.67,-69.65,45.65,-69.65,45.65,"cat2, station below",G0620,-69.725,45.675,correct position - centered in pixel
186,619,Tadouie,Canada,North America,-98.33,58.59,-98.25,58.75,-98.25,58.65,"cat2, not main river",,-98.225,58.725,remapped
187,624,Swan,Canada,North America,-100.74,52.49,-100.75,52.65,-100.75,52.55,"cat2, not main river",,-100.775,52.625,remapped
188,625,,Canada,North America,-88.01,52.94,-87.85,52.85,-87.85,52.85,,G0271,-87.825,52.925,remapped
189,628,,Canada,North America,-97.56,57.31,-97.15,57.35,-97.15,57.35,,G0200,-97.575,57.325,correct position - centered in pixel
190,633,Timiskaming,Canada,North America,-79.44,47.2,-79.45,47.05,-79.55,47.45,"resevoir, but keep as lake?",,-79.425,47.075,remapped
191,653,,Canada,North America,-87.92,52.24,-87.45,52.15,-87.95,52.25,,G0326,-87.475,52.175,remapped
192,677,Bear Lake,United States,North America,-111.33,42.01,-111.35,42.15,-111.35,42.05,,,-111.325,42.175,remapped
193,691,,Canada,North America,-75.03,51.42,-75.25,51.45,-75.25,51.45,,,-75.225,51.475,remapped
194,693,Aggikani,Canada,North America,-100.27,62.52,-100.45,62.45,-100.55,62.45,,,-100.425,62.425,remapped
195,716,Eutsuk,Canada,North America,-126.68,53.3,-126.25,53.25,-126.25,53.25,,,-126.275,53.225,remapped
196,720,,Canada,North America,-105.57,55.67,-105.15,55.65,-105.15,55.65,,,-105.225,55.675,remapped
197,728,Red Deer,Canada,North America,-101.36,52.95,-101.25,52.85,-101.35,52.95,,G0300,-101.225,52.875,remapped
198,734,,Canada,North America,-126.1,54.01,-125.05,53.95,-125.85,54.05,,G0278,-125.025,53.975,remapped
199,739,Harrison,Canada,North America,-121.83,49.52,-121.85,49.35,-121.85,49.45,,,-121.825,49.325,remapped
200,745,Quesnel,Canada,North America,-120.99,52.61,-121.55,52.55,-121.05,52.55,,G0305,-121.525,52.525,remapped
201,752,,Canada,North America,-101.88,55.72,-101.45,55.75,-101.65,55.75,,G0235,-101.475,55.775,remapped
202,753,,Canada,North America,-107.07,55.87,-106.75,55.75,-106.85,55.85,,,-106.775,55.775,remapped
203,754,Cumberland,Canada,North America,-102.33,54.04,-102.35,54.05,-102.35,54.05,,,-102.325,54.025,correct position - centered in pixel
204,761,Lake Winnibigoshish,United States,North America,-94.17,47.45,-94.05,47.45,-94.15,47.45,,G0535,-94.075,47.475,remapped
205,766,Grand Lake,United States,North America,-91.4,29.8,-91.25,29.75,-91.25,29.75,but the station needs to be moved to sink,G0909,-91.225,29.725,lake gets water also from the north
206,768,Brochet,Canada,North America,-101.68,58.64,-101.65,58.65,-101.65,58.65,,,-101.625,58.625,remapped
207,771,Turnor,Canada,North America,-108.65,56.56,-108.45,56.65,-108.55,56.65,"cat2, not on main river",,-108.475,56.525,remapped
208,772,Takla,Canada,North America,-125.84,55.38,-125.55,55.05,-125.75,55.15,,,-125.525,55.075,remapped
209,782,Pasfield,Canada,North America,-105.31,58.37,-105.25,58.45,-105.25,58.45,station below,,-105.275,58.425,remapped
210,810,Plonge,Canada,North America,-107.34,55.12,-107.45,55.15,-107.45,55.15,"cat2, not main river",,-107.475,55.175,remapped
211,837,Waterhen,Canada,North America,-99.57,52.09,-99.55,51.95,-99.55,52.05,,G0334,-99.575,51.925,remapped
212,858,,Canada,North America,-103.35,55.48,-103.25,55.55,-103.45,55.45,,,-103.325,55.525,remapped
213,908,Loche,Canada,North America,-109.48,56.46,-109.45,56.45,-109.45,56.45,"cat2, not on main river",,-109.425,56.425,remapped
214,925,Beaver Hill,Canada,North America,-94.92,54.24,-94.85,54.35,-94.85,54.35,,,-94.875,54.375,remapped
215,927,Knee,Canada,North America,-94.54,55.08,-94.35,55.15,-94.45,55.15,,G0225,-94.375,55.175,remapped
216,929,Lake George,United States,North America,-81.61,29.33,-81.65,29.35,-81.55,29.25,,,-81.625,29.325,correct position - centered in pixel
217,940,Laberge,Canada,North America,-135.16,61.19,-135.15,60.85,-135.25,61.35,,G0132,-135.075,60.975,remapped
218,949,,Canada,North America,-102.01,54.17,-101.95,54.15,-101.95,54.15,,,-101.975,54.125,remapped
219,1018,,Canada,North America,-98.64,54.98,-98.55,55.05,-98.55,55.05,,G0245,-98.525,55.075,remapped
